sample_id	Day	Month	Year	species	nr_ind	Site	Method	Duration
11012	30	3	2021	NA	0	T005	Filter_net	7
11013	30	3	2021	NA	0	T005	Filter_net	7
11014	30	3	2021	NA	0	T005	Filter_net	7
11015	30	3	2021	NA	0	T005	Filter_net	7
11052	6	4	2021	NA	0	T005	Filter_net	7
11053	6	4	2021	NA	0	T005	Filter_net	7
11054	6	4	2021	NA	0	T005	Filter_net	7
11180	13	4	2021	NA	0	T005	Filter_net	7
11182	13	4	2021	NA	0	T005	Filter_net	7
11187	20	4	2021	NA	0	T005	Filter_net	7
11188	20	4	2021	NA	0	T005	Filter_net	7
11189	20	4	2021	NA	0	T005	Filter_net	7
11195	27	4	2021	NA	0	T005	Filter_net	7
11775	3	5	2021	NA	0	T005	Filter_net	6
11776	3	5	2021	NA	0	T005	Filter_net	6
11777	3	5	2021	NA	0	T005	Filter_net	6
11779	10	5	2021	NA	0	T005	Filter_net	7
11780	10	5	2021	NA	0	T005	Filter_net	7
11789	17	5	2021	NA	0	T005	Filter_net	7
11793	25	5	2021	NA	0	T005	Filter_net	8
11794	25	5	2021	NA	0	T005	Filter_net	8
11800	31	5	2021	NA	0	T005	Filter_net	6
11802	31	5	2021	NA	0	T005	Filter_net	6
20334	13	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20336	6	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20337	6	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20341	20	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20342	20	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20343	20	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20344	20	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20358	13	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20359	13	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20360	13	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20362	27	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20363	27	4	2021	Niphargus_fontanus	1	T005	Filter_net	7
20364	27	4	2021	Crangonyx_cf._subterraneus	1	T005	Filter_net	7
20365	27	4	2021	Crangonyx_cf._subterraneus	1	T005	Filter_net	7
20366	3	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
20434	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20435	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20436	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20437	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20438	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20439	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20440	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20441	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20442	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20443	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20444	10	5	2021	Niphargus_sp.	1	T005	Filter_net	7
20445	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20446	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20450	10	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20469	17	5	2021	Niphargus_sp.	1	T005	Filter_net	7
20470	17	5	2021	Niphargus_sp.	1	T005	Filter_net	7
20471	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20472	17	5	2021	Crangonyx_cf._subterraneus	1	T005	Filter_net	7
20473	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20474	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20475	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20476	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20477	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20478	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20479	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20480	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20481	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20482	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20501	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20525	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20526	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20527	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20528	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20529	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20530	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20531	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20532	25	5	2021	Niphargus_sp.	1	T005	Filter_net	8
20533	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20534	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20535	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20536	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20537	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20538	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20539	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20540	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20541	25	5	2021	Niphargus_fontanus	1	T005	Filter_net	8
20542	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20543	17	5	2021	Niphargus_fontanus	1	T005	Filter_net	7
20550	31	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
20551	31	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
20552	31	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
20553	31	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
20554	31	5	2021	Niphargus_fontanus	1	T005	Filter_net	6
11004	23	3	2021	NA	0	T005	Aquarium_net	0
11167	29	3	2021	NA	0	T008	Filter_net	6
11168	6	4	2021	NA	0	T008	Filter_net	8
11169	13	4	2021	NA	0	T008	Filter_net	7
11770	3	5	2021	NA	0	T008	Filter_net	6
11771	10	5	2021	NA	0	T008	Filter_net	7
11772	17	5	2021	NA	0	T008	Filter_net	7
11773	25	5	2021	NA	0	T008	Filter_net	8
20292	13	4	2021	Niphargus_tonywhitteni	1	T008	Filter_net	7
20293	20	4	2021	Niphargus_tonywhitteni	1	T008	Filter_net	7
20294	27	4	2021	Niphargus_tonywhitteni	1	T008	Filter_net	7
20295	27	4	2021	Niphargus_tonywhitteni	1	T008	Filter_net	7
20502	31	5	2021	Niphargus_thienemanni	1	T008	Filter_net	6
20503	31	5	2021	Niphargus_thienemanni	1	T008	Filter_net	6
11008	23	3	2021	NA	0	T008	Aquarium_net	0
11738	20	4	2021	NA	0	T035	Filter_net	6
11739	20	4	2021	NA	0	T035	Filter_net	6
11742	27	4	2021	NA	0	T035	Filter_net	7
11743	27	4	2021	NA	0	T035	Filter_net	7
11746	3	5	2021	NA	0	T035	Filter_net	6
11747	3	5	2021	NA	0	T035	Filter_net	6
11750	10	5	2021	NA	0	T035	Filter_net	7
11751	10	5	2021	NA	0	T035	Filter_net	7
11754	17	5	2021	NA	0	T035	Filter_net	7
11755	17	5	2021	NA	0	T035	Filter_net	7
11758	25	5	2021	NA	0	T035	Filter_net	8
11759	25	5	2021	NA	0	T035	Filter_net	8
11764	31	5	2021	NA	0	T035	Filter_net	6
11765	31	5	2021	NA	0	T035	Filter_net	6
11768	8	6	2021	NA	0	T035	Filter_net	8
11769	8	6	2021	NA	0	T035	Filter_net	8
12134	15	6	2021	NA	0	T035	Filter_net	7
12135	15	6	2021	NA	0	T035	Filter_net	7
12138	22	6	2021	NA	0	T035	Filter_net	7
12139	22	6	2021	NA	0	T035	Filter_net	7
11044	14	4	2021	NA	0	T035	Aquarium_net	0
11045	14	4	2021	NA	0	T035	Aquarium_net	0
11631	19	4	2021	NA	0	T052	Filter_net	4
11632	19	4	2021	NA	0	T052	Filter_net	4
11633	26	4	2021	NA	0	T052	Filter_net	7
11634	26	4	2021	NA	0	T052	Filter_net	7
11635	3	5	2021	NA	0	T052	Filter_net	7
11636	3	5	2021	NA	0	T052	Filter_net	7
11637	11	5	2021	NA	0	T052	Filter_net	8
11638	11	5	2021	NA	0	T052	Filter_net	8
11979	18	5	2021	NA	0	T052	Filter_net	8
11984	25	5	2021	NA	0	T052	Filter_net	7
20732	7	6	2021	Niphargus_tonywhitteni	1	T052	Filter_net	7
20733	7	6	2021	Niphargus_tonywhitteni	1	T052	Filter_net	7
20802	31	5	2021	Niphargus_auerbachi	1	T052	Filter_net	6
20803	31	5	2021	Crangonyx_cf._subterraneus	1	T052	Filter_net	6
20804	31	5	2021	Niphargus_tonywhitteni	1	T052	Filter_net	6
20805	31	5	2021	Niphargus_tonywhitteni	1	T052	Filter_net	6
20806	31	5	2021	Niphargus_sp.	1	T052	Filter_net	6
20807	25	5	2021	Niphargus_tonywhitteni	1	T052	Filter_net	7
20808	25	5	2021	Niphargus_sp.	1	T052	Filter_net	7
20810	18	5	2021	Niphargus_tonywhitteni	1	T052	Filter_net	8
20811	18	5	2021	Niphargus_tonywhitteni	1	T052	Filter_net	8
11074	15	4	2021	NA	0	T052	Aquarium_net	0
11075	15	4	2021	NA	0	T052	Aquarium_net	0
11290	1	4	2021	NA	0	T061	Filter_net	7
11291	9	4	2021	NA	0	T061	Filter_net	8
11292	16	4	2021	NA	0	T061	Filter_net	7
11296	23	4	2021	NA	0	T061	Filter_net	7
11297	30	4	2021	NA	0	T061	Filter_net	7
12197	14	5	2021	NA	0	T061	Filter_net	8
12201	21	5	2021	NA	0	T061	Filter_net	7
12202	28	5	2021	NA	0	T061	Filter_net	7
12203	4	6	2021	NA	0	T061	Filter_net	7
20903	6	5	2021	Niphargus_puteanus	1	T061	Filter_net	6
11283	25	3	2021	NA	0	T061	Aquarium_net	0
11286	30	4	2021	NA	0	T061	Aquarium_net	0
12245	12	5	2021	NA	0	T066	Filter_net	5
12246	19	5	2021	NA	0	T066	Filter_net	7
12247	7	5	2021	NA	0	T066	Filter_net	9
20916	12	5	2021	Niphargus_auerbachi	1	T066	Filter_net	5
20323	17	4	2021	Niphargus_auerbachi	1	T066	Aquarium_net	0
11571	3	5	2021	NA	0	T073	Filter_net	7
11578	10	5	2021	NA	0	T073	Filter_net	7
11585	17	5	2021	NA	0	T073	Filter_net	7
20427	26	4	2021	Niphargus_sp.	1	T073	Filter_net	7
20322	19	4	2021	Crangonyx_cf._subterraneus	1	T073	Aquarium_net	0
11652	14	5	2021	NA	0	T083	Filter_net	7
12151	21	5	2021	NA	0	T083	Filter_net	7
12162	11	6	2021	Niphargus_sp.	0	T083	Filter_net	7
12163	11	6	2021	NA	0	T083	Filter_net	7
20511	7	5	2021	Niphargus_auerbachi	1	T083	Filter_net	7
20512	7	5	2021	Niphargus_auerbachi	1	T083	Filter_net	7
20513	7	5	2021	Niphargus_sp.	1	T083	Filter_net	7
20514	30	4	2021	Niphargus_auerbachi	1	T083	Filter_net	8
20515	30	4	2021	Niphargus_tonywhitteni	1	T083	Filter_net	8
20589	14	5	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20866	21	5	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20867	21	5	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20868	28	5	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20869	28	5	2021	Niphargus_auerbachi	1	T083	Filter_net	7
20870	4	6	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20871	4	6	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20873	18	6	2021	Niphargus_sp.	1	T083	Filter_net	7
20874	18	6	2021	Niphargus_tonywhitteni	1	T083	Filter_net	7
20875	18	6	2021	Niphargus_auerbachi	1	T083	Filter_net	7
20300	22	4	2021	Niphargus_tonywhitteni	1	T083	Aquarium_net	0
20301	22	4	2021	Niphargus_tonywhitteni	1	T083	Aquarium_net	0
20302	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20303	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20304	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20305	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20306	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20307	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
20308	22	4	2021	Niphargus_auerbachi	1	T083	Aquarium_net	0
12027	15	6	2021	NA	0	T094	Aquarium_net	0
20181	29	4	2021	Niphargus_sp.	1	T094	Filter_net	7
20454	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20455	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20456	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20457	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20458	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20459	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20460	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20461	10	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20462	3	5	2021	Niphargus_puteanus	1	T103	Filter_net	4
20463	3	5	2021	Niphargus_puteanus	1	T103	Filter_net	4
20464	3	5	2021	Niphargus_puteanus	1	T103	Filter_net	4
20465	3	5	2021	Niphargus_puteanus	1	T103	Filter_net	4
20466	3	5	2021	Niphargus_puteanus	1	T103	Filter_net	4
20654	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20655	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20656	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20657	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20658	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20659	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20660	17	5	2021	Niphargus_sp.	1	T103	Filter_net	7
20661	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20662	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20663	17	5	2021	Niphargus_puteanus	1	T103	Filter_net	7
20664	17	5	2021	Niphargus_auerbachi	1	T103	Filter_net	7
